# Worst foundation-scheme fault probability by dataset and ASIL group.
# Only ASIL B/C/D are shown because ASIL A does not carry a useful threshold here.

dataset	asil	code	max_p_fault	p_threshold	fault_to_threshold_ratio
E12S200_12ecu_200signals_005	C	9504209330889887366	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S200_12ecu_200signals_005	D	1505474667182358276	3.301759809818631e-15	1e-08	3.301759809818631e-07
E12S250_12ecu_250signals_001	B	15597733829861660412	3.959999921592002e-08	1e-07	0.39599999215920023
E12S250_12ecu_250signals_001	C	5608309895228602552	1.5681599379008662e-15	1e-07	1.5681599379008663e-08
E12S250_12ecu_250signals_001	D	5044601913597112466	1.7305599280087053e-15	1e-08	1.7305599280087053e-07
E12S250_12ecu_250signals_002	B	790874969147186576	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E12S250_12ecu_250signals_002	C	3689463087732148134	1.884959917815747e-15	1e-07	1.884959917815747e-08
E12S250_12ecu_250signals_002	D	12864282577056902343	2.4393598765683887e-15	1e-08	2.4393598765683885e-07
E12S250_12ecu_250signals_003	B	16615375998940412967	4.3599999049520024e-08	1e-07	0.4359999904952003
E12S250_12ecu_250signals_003	C	966501748238912811	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E12S250_12ecu_250signals_003	D	11097004785112938414	1.7265599281751066e-15	1e-08	1.7265599281751065e-07
E12S250_12ecu_250signals_004	B	5869238533448139710	4.3599999049520024e-08	1e-07	0.4359999904952003
E12S250_12ecu_250signals_004	C	6668997665592448149	1.900959917118147e-15	1e-07	1.900959917118147e-08
E12S250_12ecu_250signals_004	D	47128338312818696	1.900959917118147e-15	1e-08	1.900959917118147e-07
E12S250_12ecu_250signals_005	B	2318187327640943168	1.7305599280087053e-15	1e-07	1.7305599280087055e-08
E12S250_12ecu_250signals_005	C	8295231318651861184	1.6473599331171859e-15	1e-07	1.647359933117186e-08
E12S250_12ecu_250signals_005	D	7895081710014910213	1.5681599379008662e-15	1e-08	1.5681599379008662e-07
